name,path,pose,gaze,control,scene_obj,scene_cam,video,MS_rating,face,manual,Check
36_2_Super_Rumble,/data/VR_NET/zipped/1/36_2_Super_Rumble.zip,1,1,1,1,1,1,1,0,1,No_Problem
36_1_Citadel,/data/VR_NET/zipped/1/36_1_Citadel.zip,1,1,1,1,1,1,1,0,1,No_Problem
28_2_Army_Men,/data/VR_NET/zipped/1/28_2_Army_Men.zip,1,1,1,1,1,1,1,0,1,No_Problem
25_2_Bobber_Bay_Fishing,/data/VR_NET/zipped/1/25_2_Bobber_Bay_Fishing.zip,1,1,1,1,1,1,1,0,1,No_Problem
38_1_Super_Rumble,/data/VR_NET/zipped/1/38_1_Super_Rumble.zip,1,1,1,1,1,1,1,0,1,No_Problem
30_2_Army_Men,/data/VR_NET/zipped/1/30_2_Army_Men.zip,1,1,1,1,1,1,1,0,1,No_Problem
28_1_Bobber_Bay_Fishing,/data/VR_NET/zipped/1/28_1_Bobber_Bay_Fishing.zip,1,1,1,1,1,1,1,0,1,No_Problem
39_1_Super_Rumble,/data/VR_NET/zipped/1/39_1_Super_Rumble.zip,1,1,1,1,1,1,1,0,1,No_Problem
30_1_Bobber_Bay_Fishing,/data/VR_NET/zipped/1/30_1_Bobber_Bay_Fishing.zip,1,1,1,1,1,1,1,0,1,No_Problem
34_2_Super_Rumble,/data/VR_NET/zipped/1/34_2_Super_Rumble.zip,1,1,1,1,1,1,1,0,1,No_Problem
34_1_Citadel,/data/VR_NET/zipped/1/34_1_Citadel.zip,1,1,1,1,1,1,1,0,1,No_Problem
25_1_Army_Men,/data/VR_NET/zipped/1/25_1_Army_Men.zip,1,1,1,1,1,1,1,0,1,No_Problem
31_2_Super_Rumble,/data/VR_NET/zipped/1/31_2_Super_Rumble.zip,1,1,1,1,1,1,1,0,1,No_Problem
31_1_Citadel,/data/VR_NET/zipped/1/31_1_Citadel.zip,1,1,1,1,1,1,1,0,1,No_Problem
32_1_Citadel,/data/VR_NET/zipped/1/32_1_Citadel.zip,1,1,1,1,1,1,1,0,1,No_Problem
16_1_Mars_Miners,/data/VR_NET/zipped/0/16_1_Mars_Miners.zip,1,1,1,1,1,1,1,0,1,No_Problem
10_2_Earth_Gym,/data/VR_NET/zipped/0/10_2_Earth_Gym.zip,1,1,1,1,1,1,1,0,1,No_Problem
18_1_Mars_Miners,/data/VR_NET/zipped/0/18_1_Mars_Miners.zip,1,1,1,1,1,1,1,0,1,No_Problem
13_1_Mars_Miners,/data/VR_NET/zipped/0/13_1_Mars_Miners.zip,1,1,1,1,1,1,1,0,1,Other
13_2_American_Idol,/data/VR_NET/zipped/0/13_2_American_Idol.zip,1,1,1,1,1,1,1,0,1,No_Problem
20_1_Mars_Miners,/data/VR_NET/zipped/0/20_1_Mars_Miners.zip,1,1,1,1,1,1,1,0,1,No_Problem
8_2_Earth_Gym,/data/VR_NET/zipped/0/8_2_Earth_Gym.zip,1,1,1,1,1,1,1,0,1,No_Problem
18_2_American_Idol,/data/VR_NET/zipped/0/18_2_American_Idol.zip,1,1,1,1,1,1,1,0,1,Other
23_1_Army_Men,/data/VR_NET/zipped/0/23_1_Army_Men.zip,1,1,1,1,1,1,1,0,1,No_Problem
10_1_Wild_Quest,/data/VR_NET/zipped/0/10_1_Wild_Quest.zip,1,1,1,1,1,1,1,0,1,No_Problem
17_1_Mars_Miners,/data/VR_NET/zipped/0/17_1_Mars_Miners.zip,1,1,1,1,1,1,1,0,1,No_Problem
20_2_American_Idol,/data/VR_NET/zipped/0/20_2_American_Idol.zip,1,1,1,1,1,1,1,0,1,No_Problem
15_2_American_Idol,/data/VR_NET/zipped/0/15_2_American_Idol.zip,1,1,1,1,1,1,1,0,1,No_Problem
15_1_Mars_Miners,/data/VR_NET/zipped/0/15_1_Mars_Miners.zip,1,1,1,1,1,1,1,0,1,No_Problem
23_2_Bobber_Bay_Fishing,/data/VR_NET/zipped/0/23_2_Bobber_Bay_Fishing.zip,1,1,1,1,1,1,1,0,1,No_Problem
17_2_American_Idol,/data/VR_NET/zipped/0/17_2_American_Idol.zip,1,1,1,1,1,1,1,0,1,No_Problem
16_2_American_Idol,/data/VR_NET/zipped/0/16_2_American_Idol.zip,1,1,1,1,1,1,1,0,1,No_Problem
390_1_Kawaii_House,/data/VR_NET/zipped/25/390_1_Kawaii_House.zip,1,1,1,1,1,1,1,0,1,Two_files_for_all
392_1_Kawaii_House,/data/VR_NET/zipped/25/392_1_Kawaii_House.zip,1,1,1,1,1,1,1,0,1,Two_files_for_all
86_1_Metdonalds,/data/VR_NET/zipped/5/86_1_Metdonalds.zip,1,1,1,1,1,1,1,0,1,No_Problem
88_2_3D_Play_House,/data/VR_NET/zipped/5/88_2_3D_Play_House.zip,1,1,1,1,1,1,1,0,1,No_Problem
86_2_3D_Play_House,/data/VR_NET/zipped/5/86_2_3D_Play_House.zip,1,1,1,1,1,1,1,0,1,No_Problem
88_1_Metdonalds,/data/VR_NET/zipped/5/88_1_Metdonalds.zip,1,1,1,1,1,1,1,0,1,No_Problem
348_1_Wizard_Sandbox,/data/VR_NET/zipped/22/348_1_Wizard_Sandbox.zip,1,1,1,0,0,1,1,1,0,
346_2_Meta_Pizza_Hut_Classic,/data/VR_NET/zipped/22/346_2_Meta_Pizza_Hut_Classic.zip,1,1,1,0,0,1,1,1,0,
344_2_Wizard_Sandbox,/data/VR_NET/zipped/22/344_2_Wizard_Sandbox.zip,1,1,1,0,0,1,1,1,0,
345_1_Meta_Pizza_Hut_Classic,/data/VR_NET/zipped/22/345_1_Meta_Pizza_Hut_Classic.zip,1,1,1,0,0,1,1,1,0,
3_1_Earth_Gym,/data/VR_NET/zipped/22/3_1_Earth_Gym.zip,1,0,1,1,1,1,1,0,0,
347_1_Meta_Pizza_Hut_Classic,/data/VR_NET/zipped/22/347_1_Meta_Pizza_Hut_Classic.zip,1,1,1,0,0,1,1,1,0,
4_1_Earth_Gym,/data/VR_NET/zipped/22/4_1_Earth_Gym.zip,1,0,1,1,1,1,1,0,0,
344_1_Meta_Pizza_Hut_Classic,/data/VR_NET/zipped/22/344_1_Meta_Pizza_Hut_Classic.zip,1,1,1,0,0,1,1,1,0,
347_2_Wizard_Sandbox,/data/VR_NET/zipped/22/347_2_Wizard_Sandbox.zip,1,1,1,0,0,1,1,1,0,
351_1_HoverTag,/data/VR_NET/zipped/22/351_1_HoverTag.zip,1,1,1,0,0,1,1,1,0,
351_2_Circle_Kawaii,/data/VR_NET/zipped/22/351_2_Circle_Kawaii.zip,1,1,1,0,0,1,1,1,0,
348_2_Meta_Pizza_Hut_Classic,/data/VR_NET/zipped/22/348_2_Meta_Pizza_Hut_Classic.zip,1,1,1,0,0,1,1,1,0,
349_1_Meta_Pizza_Hut_Classic,/data/VR_NET/zipped/22/349_1_Meta_Pizza_Hut_Classic.zip,1,1,1,0,0,1,1,1,0,
350_1_Circle_Kawaii,/data/VR_NET/zipped/22/350_1_Circle_Kawaii.zip,1,1,1,0,0,1,1,1,0,
4_2_Wild_Quest,/data/VR_NET/zipped/22/4_2_Wild_Quest.zip,1,0,1,1,1,1,1,0,0,
349_2_Wizard_Sandbox,/data/VR_NET/zipped/22/349_2_Wizard_Sandbox.zip,1,1,1,0,0,1,1,1,0,
346_1_Wizard_Sandbox,/data/VR_NET/zipped/22/346_1_Wizard_Sandbox.zip,1,1,1,0,0,1,1,1,0,
7_1_Earth_Gym,/data/VR_NET/zipped/22/7_1_Earth_Gym.zip,1,1,1,1,1,1,1,0,0,
345_2_Wizard_Sandbox,/data/VR_NET/zipped/22/345_2_Wizard_Sandbox.zip,1,1,1,0,0,1,1,1,0,
7_2_Wild_Quest,/data/VR_NET/zipped/22/7_2_Wild_Quest.zip,1,1,1,1,1,1,1,0,0,
350_2_HoverTag,/data/VR_NET/zipped/22/350_2_HoverTag.zip,1,1,1,0,0,1,1,1,0,
289_1_Kawaii_Fire_Station,/data/VR_NET/zipped/19/289_1_Kawaii_Fire_Station.zip,1,1,1,0,0,1,1,1,0,
290_2_Kawaii_Fire_Station,/data/VR_NET/zipped/19/290_2_Kawaii_Fire_Station.zip,1,1,1,0,0,1,1,1,0,
310_1_Escape_Puzzle_Mansion,/data/VR_NET/zipped/19/310_1_Escape_Puzzle_Mansion.zip,1,1,1,0,0,1,1,1,0,
285_2_Fight_the_Night,/data/VR_NET/zipped/19/285_2_Fight_the_Night.zip,1,1,1,0,0,1,1,1,0,
309_2_Mech_Playground,/data/VR_NET/zipped/19/309_2_Mech_Playground.zip,1,1,1,0,0,1,1,1,0,
313_2_Mech_Playground,/data/VR_NET/zipped/19/313_2_Mech_Playground.zip,1,1,1,0,0,1,1,1,0,
291_2_Kawaii_Fire_Station,/data/VR_NET/zipped/19/291_2_Kawaii_Fire_Station.zip,1,1,1,0,0,1,1,1,0,
286_1_Kawaii_Police_Station,/data/VR_NET/zipped/19/286_1_Kawaii_Police_Station.zip,1,1,1,0,0,1,1,1,0,
284_1_Kawaii_Police_Station,/data/VR_NET/zipped/19/284_1_Kawaii_Police_Station.zip,1,1,1,0,0,1,1,1,0,
312_1_Escape_Puzzle_Mansion,/data/VR_NET/zipped/19/312_1_Escape_Puzzle_Mansion.zip,1,1,1,0,0,1,1,1,0,
288_1_Man_of_Moon_Mountain,/data/VR_NET/zipped/19/288_1_Man_of_Moon_Mountain.zip,1,1,1,0,0,1,1,1,0,
289_2_Man_of_Moon_Mountain,/data/VR_NET/zipped/19/289_2_Man_of_Moon_Mountain.zip,1,1,1,0,0,1,1,1,0,
293_1_Man_of_Moon_Mountain,/data/VR_NET/zipped/19/293_1_Man_of_Moon_Mountain.zip,1,1,1,0,0,1,1,1,0,
312_2_Mech_Playground,/data/VR_NET/zipped/19/312_2_Mech_Playground.zip,1,1,1,0,0,1,1,1,0,
288_2_Kawaii_Fire_Station,/data/VR_NET/zipped/19/288_2_Kawaii_Fire_Station.zip,1,1,1,0,0,1,1,1,0,
311_1_Escape_Puzzle_Mansion,/data/VR_NET/zipped/19/311_1_Escape_Puzzle_Mansion.zip,1,1,1,0,0,1,1,1,0,
284_2_Fight_the_Night,/data/VR_NET/zipped/19/284_2_Fight_the_Night.zip,1,1,1,0,0,1,1,1,0,
311_2_Mech_Playground,/data/VR_NET/zipped/19/311_2_Mech_Playground.zip,1,1,1,0,0,1,1,1,0,
286_2_Fight_the_Night,/data/VR_NET/zipped/19/286_2_Fight_the_Night.zip,1,1,1,0,0,1,1,1,0,
285_1_Kawaii_Police_Station,/data/VR_NET/zipped/19/285_1_Kawaii_Police_Station.zip,1,1,1,0,0,1,1,1,0,
287_1_Kawaii_Police_Station,/data/VR_NET/zipped/19/287_1_Kawaii_Police_Station.zip,1,1,1,0,0,1,1,1,0,
292_2_Kawaii_Fire_Station,/data/VR_NET/zipped/19/292_2_Kawaii_Fire_Station.zip,1,1,1,0,0,1,1,1,0,
290_1_Man_of_Moon_Mountain,/data/VR_NET/zipped/19/290_1_Man_of_Moon_Mountain.zip,1,1,1,0,0,1,1,1,0,
309_1_Escape_Puzzle_Mansion,/data/VR_NET/zipped/19/309_1_Escape_Puzzle_Mansion.zip,1,1,1,0,0,1,1,1,0,
293_2_Kawaii_Fire_Station,/data/VR_NET/zipped/19/293_2_Kawaii_Fire_Station.zip,1,1,1,0,0,1,1,1,0,
291_1_Man_of_Moon_Mountain,/data/VR_NET/zipped/19/291_1_Man_of_Moon_Mountain.zip,1,1,1,0,0,1,1,1,0,
287_2_Fight_the_Night,/data/VR_NET/zipped/19/287_2_Fight_the_Night.zip,1,1,1,0,0,1,1,1,0,
313_1_Escape_Puzzle_Mansion,/data/VR_NET/zipped/19/313_1_Escape_Puzzle_Mansion.zip,1,1,1,0,0,1,1,1,0,
292_1_Man_of_Moon_Mountain,/data/VR_NET/zipped/19/292_1_Man_of_Moon_Mountain.zip,1,1,1,0,0,1,1,1,0,
338_2_Jail_Simulator,/data/VR_NET/zipped/21/338_2_Jail_Simulator.zip,1,1,1,0,0,1,1,1,0,
342_2_Wizard_Sandbox,/data/VR_NET/zipped/21/342_2_Wizard_Sandbox.zip,1,1,1,0,0,1,1,1,0,
340_2_Wizard_Sandbox,/data/VR_NET/zipped/21/340_2_Wizard_Sandbox.zip,1,1,1,0,0,1,1,1,0,
335_2_Spy_School,/data/VR_NET/zipped/21/335_2_Spy_School.zip,1,1,1,0,0,1,1,1,0,
340_1_Meta_Pizza_Hut_Classic,/data/VR_NET/zipped/21/340_1_Meta_Pizza_Hut_Classic.zip,1,1,1,0,0,1,1,1,0,
339_1_Spy_School,/data/VR_NET/zipped/21/339_1_Spy_School.zip,1,1,1,0,0,1,1,1,0,
336_2_Spy_School,/data/VR_NET/zipped/21/336_2_Spy_School.zip,1,1,1,0,0,1,1,1,0,
334_1_Jail_Simulator,/data/VR_NET/zipped/21/334_1_Jail_Simulator.zip,1,1,1,0,0,1,1,1,0,
331_1_Jail_Simulator,/data/VR_NET/zipped/21/331_1_Jail_Simulator.zip,1,1,1,0,0,1,1,1,0,
329_2_Metablocks_Adventure,/data/VR_NET/zipped/21/329_2_Metablocks_Adventure.zip,1,1,1,0,0,1,1,1,0,
334_2_Spy_School,/data/VR_NET/zipped/21/334_2_Spy_School.zip,1,1,1,0,0,1,1,1,0,
335_1_Jail_Simulator,/data/VR_NET/zipped/21/335_1_Jail_Simulator.zip,1,1,1,0,0,1,1,1,0,
332_1_Jail_Simulator,/data/VR_NET/zipped/21/332_1_Jail_Simulator.zip,1,1,1,0,0,1,1,1,0,
329_1_Wood_Warehouse,/data/VR_NET/zipped/21/329_1_Wood_Warehouse.zip,1,1,1,0,0,1,1,1,0,
342_1_Meta_Pizza_Hut_Classic,/data/VR_NET/zipped/21/342_1_Meta_Pizza_Hut_Classic.zip,1,1,1,0,0,1,1,1,0,
330_1_Jail_Simulator,/data/VR_NET/zipped/21/330_1_Jail_Simulator.zip,1,1,1,0,0,1,1,1,0,
333_2_Spy_School,/data/VR_NET/zipped/21/333_2_Spy_School.zip,1,1,1,0,0,1,1,1,0,
338_1_Spy_School,/data/VR_NET/zipped/21/338_1_Spy_School.zip,1,1,1,0,0,1,1,1,0,
330_2_Spy_School,/data/VR_NET/zipped/21/330_2_Spy_School.zip,1,1,1,0,0,1,1,1,0,
343_2_Wizard_Sandbox,/data/VR_NET/zipped/21/343_2_Wizard_Sandbox.zip,1,1,1,0,0,1,1,1,0,
337_2_Jail_Simulator,/data/VR_NET/zipped/21/337_2_Jail_Simulator.zip,1,1,1,0,0,1,1,1,0,
339_2_Jail_Simulator,/data/VR_NET/zipped/21/339_2_Jail_Simulator.zip,1,1,1,0,0,1,1,1,0,
341_1_Meta_Pizza_Hut_Classic,/data/VR_NET/zipped/21/341_1_Meta_Pizza_Hut_Classic.zip,1,1,1,0,0,1,1,1,0,
337_1_Spy_School,/data/VR_NET/zipped/21/337_1_Spy_School.zip,1,1,1,0,0,1,1,1,0,
333_1_Jail_Simulator,/data/VR_NET/zipped/21/333_1_Jail_Simulator.zip,1,1,1,0,0,1,1,1,0,
336_1_Jail_Simulator,/data/VR_NET/zipped/21/336_1_Jail_Simulator.zip,1,1,1,0,0,1,1,1,0,
343_1_Meta_Pizza_Hut_Classic,/data/VR_NET/zipped/21/343_1_Meta_Pizza_Hut_Classic.zip,1,1,1,0,0,1,1,1,0,
341_2_Wizard_Sandbox,/data/VR_NET/zipped/21/341_2_Wizard_Sandbox.zip,1,1,1,0,0,1,1,1,0,
332_2_Spy_School,/data/VR_NET/zipped/21/332_2_Spy_School.zip,1,1,1,0,0,1,1,1,0,
331_2_Spy_School,/data/VR_NET/zipped/21/331_2_Spy_School.zip,1,1,1,0,0,1,1,1,0,
366_1_Mega_Tasty_BBQ,/data/VR_NET/zipped/23/366_1_Mega_Tasty_BBQ.zip,1,1,1,0,0,1,1,1,0,
368_2_Zoo_Chef_Challenge,/data/VR_NET/zipped/23/368_2_Zoo_Chef_Challenge.zip,1,1,1,0,0,1,1,1,0,
355_1_Circle_Kawaii,/data/VR_NET/zipped/23/355_1_Circle_Kawaii.zip,1,1,1,0,0,1,1,1,0,
359_1_Circle_Kawaii,/data/VR_NET/zipped/23/359_1_Circle_Kawaii.zip,1,1,1,0,0,1,1,1,0,
356_1_Circle_Kawaii,/data/VR_NET/zipped/23/356_1_Circle_Kawaii.zip,1,1,1,0,0,1,1,1,0,
362_1_Mega_Tasty_BBQ,/data/VR_NET/zipped/23/362_1_Mega_Tasty_BBQ.zip,1,1,1,0,0,1,1,1,0,
363_2_Zoo_Chef_Challenge,/data/VR_NET/zipped/23/363_2_Zoo_Chef_Challenge.zip,1,1,1,0,0,1,1,1,0,
365_1_Mega_Tasty_BBQ,/data/VR_NET/zipped/23/365_1_Mega_Tasty_BBQ.zip,1,1,1,0,0,1,1,1,0,
363_1_Mega_Tasty_BBQ,/data/VR_NET/zipped/23/363_1_Mega_Tasty_BBQ.zip,1,1,1,0,0,1,1,1,0,
357_2_HoverTag,/data/VR_NET/zipped/23/357_2_HoverTag.zip,1,1,1,0,0,1,1,1,0,
361_2_HoverTag,/data/VR_NET/zipped/23/361_2_HoverTag.zip,1,1,1,0,0,1,1,1,0,
362_2_Zoo_Chef_Challenge,/data/VR_NET/zipped/23/362_2_Zoo_Chef_Challenge.zip,1,1,1,0,0,1,1,1,0,
368_1_Mega_Tasty_BBQ,/data/VR_NET/zipped/23/368_1_Mega_Tasty_BBQ.zip,1,1,1,0,0,1,1,1,0,
367_2_Zoo_Chef_Challenge,/data/VR_NET/zipped/23/367_2_Zoo_Chef_Challenge.zip,1,1,1,0,0,1,1,1,0,
358_1_Circle_Kawaii,/data/VR_NET/zipped/23/358_1_Circle_Kawaii.zip,1,1,1,0,0,1,1,1,0,
364_1_Mega_Tasty_BBQ,/data/VR_NET/zipped/23/364_1_Mega_Tasty_BBQ.zip,1,1,1,0,0,1,1,1,0,
360_1_Circle_Kawaii,/data/VR_NET/zipped/23/360_1_Circle_Kawaii.zip,1,1,1,0,0,1,1,1,0,
364_2_Zoo_Chef_Challenge,/data/VR_NET/zipped/23/364_2_Zoo_Chef_Challenge.zip,1,1,1,0,0,1,1,1,0,
367_1_Mega_Tasty_BBQ,/data/VR_NET/zipped/23/367_1_Mega_Tasty_BBQ.zip,1,1,1,0,0,1,1,1,0,
366_2_Zoo_Chef_Challenge,/data/VR_NET/zipped/23/366_2_Zoo_Chef_Challenge.zip,1,1,1,0,0,1,1,1,0,
358_2_HoverTag,/data/VR_NET/zipped/23/358_2_HoverTag.zip,1,1,1,0,0,1,1,1,0,
359_2_HoverTag,/data/VR_NET/zipped/23/359_2_HoverTag.zip,1,1,1,0,0,1,1,1,0,
357_1_Circle_Kawaii,/data/VR_NET/zipped/23/357_1_Circle_Kawaii.zip,1,1,1,0,0,1,1,1,0,
355_2_HoverTag,/data/VR_NET/zipped/23/355_2_HoverTag.zip,1,1,1,0,0,1,1,1,0,
354_1_Circle_Kawaii,/data/VR_NET/zipped/23/354_1_Circle_Kawaii.zip,1,1,1,0,0,1,1,1,0,
354_2_HoverTag,/data/VR_NET/zipped/23/354_2_HoverTag.zip,1,1,1,0,0,1,1,1,0,
360_2_HoverTag,/data/VR_NET/zipped/23/360_2_HoverTag.zip,1,1,1,0,0,1,1,1,0,
361_1_Circle_Kawaii,/data/VR_NET/zipped/23/361_1_Circle_Kawaii.zip,1,1,1,0,0,1,1,1,0,
365_2_Zoo_Chef_Challenge,/data/VR_NET/zipped/23/365_2_Zoo_Chef_Challenge.zip,1,1,1,0,0,1,1,1,0,
356_2_HoverTag,/data/VR_NET/zipped/23/356_2_HoverTag.zip,1,1,1,0,0,1,1,1,0,
416_2_Live_Sandbox,/data/VR_NET/zipped/27/416_2_Live_Sandbox.zip,1,1,1,0,0,1,1,1,0,
415_2_Live_Sandbox,/data/VR_NET/zipped/27/415_2_Live_Sandbox.zip,1,1,1,0,0,1,1,1,0,
419_2_Live_Sandbox,/data/VR_NET/zipped/27/419_2_Live_Sandbox.zip,1,1,1,0,0,1,1,1,0,
418_1_Junior_Chef,/data/VR_NET/zipped/27/418_1_Junior_Chef.zip,1,1,1,0,0,1,1,1,0,
416_1_Junior_Chef,/data/VR_NET/zipped/27/416_1_Junior_Chef.zip,1,1,1,0,0,1,1,1,0,
418_2_Live_Sandbox,/data/VR_NET/zipped/27/418_2_Live_Sandbox.zip,1,1,1,0,0,1,1,1,0,
417_1_Junior_Chef,/data/VR_NET/zipped/27/417_1_Junior_Chef.zip,1,1,1,0,0,1,1,1,0,
419_1_Junior_Chef,/data/VR_NET/zipped/27/419_1_Junior_Chef.zip,1,1,1,0,0,1,1,1,0,
420_2_Live_Sandbox,/data/VR_NET/zipped/27/420_2_Live_Sandbox.zip,1,1,1,0,0,1,1,1,0,
417_2_Live_Sandbox,/data/VR_NET/zipped/27/417_2_Live_Sandbox.zip,1,1,1,0,0,1,1,1,0,
415_1_Junior_Chef,/data/VR_NET/zipped/27/415_1_Junior_Chef.zip,1,1,1,0,0,1,1,1,0,
420_1_Junior_Chef,/data/VR_NET/zipped/27/420_1_Junior_Chef.zip,1,1,1,0,0,1,1,1,0,
410_1_Red_Dead,/data/VR_NET/zipped/26/410_1_Red_Dead.zip,1,1,1,0,0,1,1,1,0,
409_2_Red_Dead,/data/VR_NET/zipped/26/409_2_Red_Dead.zip,1,1,1,0,0,1,1,1,0,
404_2_VR_Bank,/data/VR_NET/zipped/26/404_2_VR_Bank.zip,1,1,1,0,0,1,1,1,0,
402_2_Frisbee_Golf,/data/VR_NET/zipped/26/402_2_Frisbee_Golf.zip,1,1,1,0,0,1,1,1,0,
